2025-06-01 19:41:53 startup archives unpack
2025-06-01 19:41:52 upgrade python3-apport:all 2.28.1-0ubuntu3.5 2.28.1-0ubuntu3.6
2025-06-01 19:41:52 status half-configured python3-apport:all 2.28.1-0ubuntu3.5
2025-06-01 19:41:52 status unpacked python3-apport:all 2.28.1-0ubuntu3.5
2025-06-01 19:41:52 status half-installed python3-apport:all 2.28.1-0ubuntu3.5
2025-06-01 19:41:53 status unpacked python3-apport:all 2.28.1-0ubuntu3.6
2025-06-01 19:41:53 upgrade apport-core-dump-handler:all 2.28.1-0ubuntu3.5 2.28.1-0ubuntu3.6
2025-06-01 19:41:53 status half-configured apport-core-dump-handler:all 2.28.1-0ubuntu3.5
2025-06-01 19:41:53 status unpacked apport-core-dump-handler:all 2.28.1-0ubuntu3.5
2025-06-01 19:41:53 status half-installed apport-core-dump-handler:all 2.28.1-0ubuntu3.5
2025-06-01 19:41:53 status unpacked apport-core-dump-handler:all 2.28.1-0ubuntu3.6
2025-06-01 19:41:53 upgrade apport:all 2.28.1-0ubuntu3.5 2.28.1-0ubuntu3.6
2025-06-01 19:41:53 status half-configured apport:all 2.28.1-0ubuntu3.5
2025-06-01 19:41:53 status unpacked apport:all 2.28.1-0ubuntu3.5
2025-06-01 19:41:53 status half-installed apport:all 2.28.1-0ubuntu3.5
2025-06-01 19:41:53 status triggers-pending hicolor-icon-theme:all 0.17-2
2025-06-01 19:41:53 status unpacked apport:all 2.28.1-0ubuntu3.6
2025-06-01 19:41:53 upgrade python3-setuptools:all 68.1.2-2ubuntu1.1 68.1.2-2ubuntu1.2
2025-06-01 19:41:53 status half-configured python3-setuptools:all 68.1.2-2ubuntu1.1
2025-06-01 19:41:53 status unpacked python3-setuptools:all 68.1.2-2ubuntu1.1
2025-06-01 19:41:53 status half-installed python3-setuptools:all 68.1.2-2ubuntu1.1
2025-06-01 19:41:53 status unpacked python3-setuptools:all 68.1.2-2ubuntu1.2
2025-06-01 19:41:53 upgrade python3-pkg-resources:all 68.1.2-2ubuntu1.1 68.1.2-2ubuntu1.2
2025-06-01 19:41:53 status half-configured python3-pkg-resources:all 68.1.2-2ubuntu1.1
2025-06-01 19:41:53 status unpacked python3-pkg-resources:all 68.1.2-2ubuntu1.1
2025-06-01 19:41:53 status half-installed python3-pkg-resources:all 68.1.2-2ubuntu1.1
2025-06-01 19:41:53 status unpacked python3-pkg-resources:all 68.1.2-2ubuntu1.2
2025-06-01 19:41:53 upgrade python3-update-manager:all 1:24.04.9 1:24.04.12
2025-06-01 19:41:53 status half-configured python3-update-manager:all 1:24.04.9
2025-06-01 19:41:54 status unpacked python3-update-manager:all 1:24.04.9
2025-06-01 19:41:54 status half-installed python3-update-manager:all 1:24.04.9
2025-06-01 19:41:54 status unpacked python3-update-manager:all 1:24.04.12
2025-06-01 19:41:54 upgrade update-manager-core:all 1:24.04.9 1:24.04.12
2025-06-01 19:41:54 status half-configured update-manager-core:all 1:24.04.9
2025-06-01 19:41:54 status unpacked update-manager-core:all 1:24.04.9
2025-06-01 19:41:54 status half-installed update-manager-core:all 1:24.04.9
2025-06-01 19:41:54 status unpacked update-manager-core:all 1:24.04.12
2025-06-01 19:41:54 upgrade net-tools:amd64 2.10-0.1ubuntu4.1 2.10-0.1ubuntu4.4
2025-06-01 19:41:54 status half-configured net-tools:amd64 2.10-0.1ubuntu4.1
2025-06-01 19:41:54 status unpacked net-tools:amd64 2.10-0.1ubuntu4.1
2025-06-01 19:41:54 status half-installed net-tools:amd64 2.10-0.1ubuntu4.1
2025-06-01 19:41:54 status unpacked net-tools:amd64 2.10-0.1ubuntu4.4
2025-06-01 19:41:54 startup packages configure
2025-06-01 19:41:54 configure python3-pkg-resources:all 68.1.2-2ubuntu1.2 <none>
2025-06-01 19:41:54 status unpacked python3-pkg-resources:all 68.1.2-2ubuntu1.2
2025-06-01 19:41:54 status half-configured python3-pkg-resources:all 68.1.2-2ubuntu1.2
2025-06-01 19:41:54 status installed python3-pkg-resources:all 68.1.2-2ubuntu1.2
2025-06-01 19:41:54 configure net-tools:amd64 2.10-0.1ubuntu4.4 <none>
2025-06-01 19:41:54 status unpacked net-tools:amd64 2.10-0.1ubuntu4.4
2025-06-01 19:41:54 status half-configured net-tools:amd64 2.10-0.1ubuntu4.4
2025-06-01 19:41:54 status installed net-tools:amd64 2.10-0.1ubuntu4.4
2025-06-01 19:41:54 configure apt-utils:amd64 2.8.3 <none>
2025-06-01 19:41:54 status unpacked apt-utils:amd64 2.8.3
2025-06-01 19:41:54 status half-configured apt-utils:amd64 2.8.3
2025-06-01 19:41:54 status installed apt-utils:amd64 2.8.3
2025-06-01 19:41:54 configure python3-setuptools:all 68.1.2-2ubuntu1.2 <none>
2025-06-01 19:41:54 status unpacked python3-setuptools:all 68.1.2-2ubuntu1.2
2025-06-01 19:41:54 status half-configured python3-setuptools:all 68.1.2-2ubuntu1.2
2025-06-01 19:41:54 status installed python3-setuptools:all 68.1.2-2ubuntu1.2
2025-06-01 19:41:55 configure python3-problem-report:all 2.28.1-0ubuntu3.6 <none>
2025-06-01 19:41:55 status unpacked python3-problem-report:all 2.28.1-0ubuntu3.6
2025-06-01 19:41:55 status half-configured python3-problem-report:all 2.28.1-0ubuntu3.6
2025-06-01 19:41:55 status installed python3-problem-report:all 2.28.1-0ubuntu3.6
2025-06-01 19:41:55 configure python3-apport:all 2.28.1-0ubuntu3.6 <none>
2025-06-01 19:41:55 status unpacked python3-apport:all 2.28.1-0ubuntu3.6
2025-06-01 19:41:55 status half-configured python3-apport:all 2.28.1-0ubuntu3.6
2025-06-01 19:41:55 status installed python3-apport:all 2.28.1-0ubuntu3.6
2025-06-01 19:41:55 configure python3-update-manager:all 1:24.04.12 <none>
2025-06-01 19:41:55 status unpacked python3-update-manager:all 1:24.04.12
2025-06-01 19:41:55 status half-configured python3-update-manager:all 1:24.04.12
2025-06-01 19:41:55 status installed python3-update-manager:all 1:24.04.12
2025-06-01 19:41:55 configure update-manager-core:all 1:24.04.12 <none>
2025-06-01 19:41:55 status unpacked update-manager-core:all 1:24.04.12
2025-06-01 19:41:55 status half-configured update-manager-core:all 1:24.04.12
2025-06-01 19:41:55 status installed update-manager-core:all 1:24.04.12
2025-06-01 19:41:55 configure apport-core-dump-handler:all 2.28.1-0ubuntu3.6 <none>
2025-06-01 19:41:55 status unpacked apport-core-dump-handler:all 2.28.1-0ubuntu3.6
2025-06-01 19:41:55 status half-configured apport-core-dump-handler:all 2.28.1-0ubuntu3.6
2025-06-01 19:41:56 status installed apport-core-dump-handler:all 2.28.1-0ubuntu3.6
2025-06-01 19:41:56 configure apport:all 2.28.1-0ubuntu3.6 <none>
2025-06-01 19:41:56 status unpacked apport:all 2.28.1-0ubuntu3.6
2025-06-01 19:41:56 status half-configured apport:all 2.28.1-0ubuntu3.6
2025-06-01 19:41:57 status installed apport:all 2.28.1-0ubuntu3.6
2025-06-01 19:41:57 trigproc hicolor-icon-theme:all 0.17-2 <none>
2025-06-01 19:41:57 status half-configured hicolor-icon-theme:all 0.17-2
2025-06-01 19:41:57 status installed hicolor-icon-theme:all 0.17-2
2025-06-01 19:41:57 trigproc libc-bin:amd64 2.39-0ubuntu8.4 <none>
2025-06-01 19:41:57 status half-configured libc-bin:amd64 2.39-0ubuntu8.4
2025-06-01 19:41:57 status installed libc-bin:amd64 2.39-0ubuntu8.4
2025-06-01 19:41:57 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-06-01 19:41:57 status half-configured man-db:amd64 2.12.0-4build2
2025-06-01 19:41:59 status installed man-db:amd64 2.12.0-4build2
2025-06-08 15:07:49 startup packages remove
2025-06-08 15:07:49 status installed htop:amd64 3.3.0-4build1
2025-06-08 15:07:49 remove htop:amd64 3.3.0-4build1 <none>
2025-06-08 15:07:49 status half-configured htop:amd64 3.3.0-4build1
2025-06-08 15:07:49 status half-installed htop:amd64 3.3.0-4build1
2025-06-08 15:07:49 status triggers-pending man-db:amd64 2.12.0-4build2
2025-06-08 15:07:49 status triggers-pending hicolor-icon-theme:all 0.17-2
2025-06-08 15:07:49 status config-files htop:amd64 3.3.0-4build1
2025-06-08 15:07:49 status not-installed htop:amd64 <none>
2025-06-08 15:07:49 startup packages configure
2025-06-08 15:07:49 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-06-08 15:07:49 status half-configured man-db:amd64 2.12.0-4build2
2025-06-08 15:07:50 status installed man-db:amd64 2.12.0-4build2
2025-06-08 15:07:50 trigproc hicolor-icon-theme:all 0.17-2 <none>
2025-06-08 15:07:50 status half-configured hicolor-icon-theme:all 0.17-2
2025-06-08 15:07:50 status installed hicolor-icon-theme:all 0.17-2
2025-06-08 15:07:59 startup archives unpack
2025-06-08 15:08:00 install htop:amd64 <none> 3.3.0-4build1
2025-06-08 15:08:00 status half-installed htop:amd64 3.3.0-4build1
2025-06-08 15:08:00 status triggers-pending hicolor-icon-theme:all 0.17-2
2025-06-08 15:08:00 status triggers-pending man-db:amd64 2.12.0-4build2
2025-06-08 15:08:00 status unpacked htop:amd64 3.3.0-4build1
2025-06-08 15:08:00 startup packages configure
2025-06-08 15:08:00 configure htop:amd64 3.3.0-4build1 <none>
2025-06-08 15:08:00 status unpacked htop:amd64 3.3.0-4build1
2025-06-08 15:08:00 status half-configured htop:amd64 3.3.0-4build1
2025-06-08 15:08:00 status installed htop:amd64 3.3.0-4build1
2025-06-08 15:08:00 trigproc hicolor-icon-theme:all 0.17-2 <none>
2025-06-08 15:08:00 status half-configured hicolor-icon-theme:all 0.17-2
2025-06-08 15:08:00 status installed hicolor-icon-theme:all 0.17-2
2025-06-08 15:08:00 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-06-08 15:08:00 status half-configured man-db:amd64 2.12.0-4build2
2025-06-08 15:08:00 status installed man-db:amd64 2.12.0-4build2
2025-06-08 15:11:50 startup packages remove
2025-06-08 15:11:50 status installed htop:amd64 3.3.0-4build1
2025-06-08 15:11:50 remove htop:amd64 3.3.0-4build1 <none>
2025-06-08 15:11:50 status half-configured htop:amd64 3.3.0-4build1
2025-06-08 15:11:50 status half-installed htop:amd64 3.3.0-4build1
2025-06-08 15:11:51 status triggers-pending man-db:amd64 2.12.0-4build2
2025-06-08 15:11:51 status triggers-pending hicolor-icon-theme:all 0.17-2
2025-06-08 15:11:51 status config-files htop:amd64 3.3.0-4build1
2025-06-08 15:11:51 status not-installed htop:amd64 <none>
2025-06-08 15:11:51 startup packages configure
2025-06-08 15:11:51 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-06-08 15:11:51 status half-configured man-db:amd64 2.12.0-4build2
2025-06-08 15:11:51 status installed man-db:amd64 2.12.0-4build2
2025-06-08 15:11:51 trigproc hicolor-icon-theme:all 0.17-2 <none>
2025-06-08 15:11:51 status half-configured hicolor-icon-theme:all 0.17-2
2025-06-08 15:11:51 status installed hicolor-icon-theme:all 0.17-2
2025-06-08 15:12:07 startup archives unpack
2025-06-08 15:12:07 install htop:amd64 <none> 3.3.0-4build1
2025-06-08 15:12:07 status half-installed htop:amd64 3.3.0-4build1
2025-06-08 15:12:07 status triggers-pending hicolor-icon-theme:all 0.17-2
2025-06-08 15:12:07 status triggers-pending man-db:amd64 2.12.0-4build2
2025-06-08 15:12:07 status unpacked htop:amd64 3.3.0-4build1
2025-06-08 15:12:07 startup packages configure
2025-06-08 15:12:07 configure htop:amd64 3.3.0-4build1 <none>
2025-06-08 15:12:07 status unpacked htop:amd64 3.3.0-4build1
2025-06-08 15:12:07 status half-configured htop:amd64 3.3.0-4build1
2025-06-08 15:12:07 status installed htop:amd64 3.3.0-4build1
2025-06-08 15:12:07 trigproc hicolor-icon-theme:all 0.17-2 <none>
2025-06-08 15:12:07 status half-configured hicolor-icon-theme:all 0.17-2
2025-06-08 15:12:07 status installed hicolor-icon-theme:all 0.17-2
2025-06-08 15:12:07 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-06-08 15:12:07 status half-configured man-db:amd64 2.12.0-4build2
2025-06-08 15:12:08 status installed man-db:amd64 2.12.0-4build2
2025-06-08 16:16:52 startup archives unpack
2025-06-08 16:16:52 upgrade cloud-init:all 24.4.1-0ubuntu0~24.04.3 25.1.2-0ubuntu0~24.04.1
2025-06-08 16:16:52 status half-configured cloud-init:all 24.4.1-0ubuntu0~24.04.3
2025-06-08 16:16:53 status unpacked cloud-init:all 24.4.1-0ubuntu0~24.04.3
2025-06-08 16:16:53 status half-installed cloud-init:all 24.4.1-0ubuntu0~24.04.3
2025-06-08 16:16:53 status triggers-pending rsyslog:amd64 8.2312.0-3ubuntu9.1
2025-06-08 16:16:53 status triggers-pending man-db:amd64 2.12.0-4build2
2025-06-08 16:16:53 status unpacked cloud-init:all 25.1.2-0ubuntu0~24.04.1
2025-06-08 16:16:53 startup packages configure
2025-06-08 16:16:53 configure cloud-init:all 25.1.2-0ubuntu0~24.04.1 <none>
2025-06-08 16:16:53 status unpacked cloud-init:all 25.1.2-0ubuntu0~24.04.1
2025-06-08 16:16:54 status half-configured cloud-init:all 25.1.2-0ubuntu0~24.04.1
2025-06-08 16:16:55 status installed cloud-init:all 25.1.2-0ubuntu0~24.04.1
2025-06-08 16:16:55 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-06-08 16:16:55 status half-configured man-db:amd64 2.12.0-4build2
2025-06-08 16:16:56 status installed man-db:amd64 2.12.0-4build2
2025-06-08 16:16:56 trigproc rsyslog:amd64 8.2312.0-3ubuntu9.1 <none>
2025-06-08 16:16:56 status half-configured rsyslog:amd64 8.2312.0-3ubuntu9.1
2025-06-08 16:16:56 status installed rsyslog:amd64 8.2312.0-3ubuntu9.1
